OBJECTID,Oceans,Regions,SubRegions,Sampling Method,Measurement,Unit,Density Range,Density Class,Short Reference,Long Reference,DOI,Organization,Keywords,Accession Number,Accession Link,Latitude,Longitude,Date,GlobalID,x,y
14988,Atlantic Ocean,,,Stainless steel spoon,9920,pieces/m3,500-30000,Medium,González-Hernández et al. 2020,"González-Hernández, M., C. Hernández-Sánchez, J. González-Sálamo, J. López-Darias, J. Hernández-Borges. Monitoring of meso and microplastic debris in Playa Grande beach (Tenerife, Canary Islands, Spain) during a moon cycle. Marine Pollution bulletin, 150, 110757. https://doi.org/10.1016/j.marpolbul.2019.110757",https://doi.org/10.1016/j.marpolbul.2019.110757,"Universidad de La Laguna, Spain",Tenerife; Canary Islands,277839,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0277839,28.152519,-16.43179,6/26/2019 12:00:00 AM,647b17f7-bbee-4ce3-b847-8758eb3da5cd,-16.43179,28.152519
15226,Pacific Ocean,Gulf of Thailand,,Metal spoon,772,pieces/m3,500-30000,Medium,Thepwilai et al. 2021,"Thepwilai, S., K. Wangritthikraikul, S. Chawchai, R. Bissen. 2021. Testing the factors controlling the numbers of microplastics on beaches along the western Gulf of Thailand. Marine Pollution Bulletin 168, 112467. https://doi.org/10.1016/j.marpolbul.2021.112467",https://doi.org/10.1016/j.marpolbul.2021.112467,"Chulalongkorn University, Bangkok, Thailand",,278060,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:278060,7.688333,100.391111,9/22/2019 12:00:00 AM,32ed1b74-f49f-4044-b091-774d898b0948,100.391111,7.68833300000006
15011,Atlantic Ocean,,,Stainless steel spoon,103120,pieces/m3,>40000,Very High,González-Hernández et al. 2020,"González-Hernández, M., C. Hernández-Sánchez, J. González-Sálamo, J. López-Darias, J. Hernández-Borges. Monitoring of meso and microplastic debris in Playa Grande beach (Tenerife, Canary Islands, Spain) during a moon cycle. Marine Pollution bulletin, 150, 110757. https://doi.org/10.1016/j.marpolbul.2019.110757",https://doi.org/10.1016/j.marpolbul.2019.110757,"Universidad de La Laguna, Spain",Tenerife; Canary Islands,277839,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0277839,28.152519,-16.43179,7/9/2019 12:00:00 AM,e4810e57-f141-4bdd-9608-8c88e52af0ea,-16.43179,28.152519
15203,Pacific Ocean,Gulf of Thailand,,Metal spoon,352000,pieces/m3,>40000,Very High,"Bissen and Chawchai, 2020","Bissen, R., C. Sakonvan. 2020. Microplastics on beaches along the eastern Gulf of Thailand - A preliminary study. Marine Pollution Bulletin 157, 111345. https://doi.org/10.1016/j.marpolbul.2020.111345",https://doi.org/10.1016/j.marpolbul.2020.111345,"Chulalongkorn University, Bangkok, Thailand",,278059,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:278059,11.893611,102.7875,4/14/2019 12:00:00 AM,98f95f06-d33e-4efc-afcd-ab44df79bdc2,102.7875,11.893611
15034,Indian Ocean,Bay of Bengal,,Trowel,1440,pieces/m3,500-30000,Medium,Fatema et al. 2023,"Fatema, K., K. A. Sumon, S. M. Moon, Md. J. Alam, S. J. Hasan, Md. H. Uddin, H. Arakawa, H. Rashid. 2023. Microplastics and mesoplastics in surface water, beach sediment, and crude salt from the northern Bay of Bengal, Bangladesh coast. Journal of Sedimentary Environments. https://doi.org/10.1007/s11356-022-24998-z",https://doi.org/10.1007/s43217-023-00131-z,Bangladesh Agricultural University,Bangladesh coast ,277997,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277997,21.329722,92.029167,3/23/2019 12:00:00 AM,3bdb1db8-bfea-4755-ada2-a0c4a9fcecfb,92.0291670000001,21.3297220000001
15180,Pacific Ocean,Gulf of Thailand,,Metal spoon,15280,pieces/m3,500-30000,Medium,"Bissen and Chawchai, 2020","Bissen, R., C. Sakonvan. 2020. Microplastics on beaches along the eastern Gulf of Thailand - A preliminary study. Marine Pollution Bulletin 157, 111345. https://doi.org/10.1016/j.marpolbul.2020.111345",https://doi.org/10.1016/j.marpolbul.2020.111345,"Chulalongkorn University, Bangkok, Thailand",,278059,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:278059,12.675,101.07,4/11/2019 12:00:00 AM,6f7b69a7-1a7c-4186-8852-2253c857887c,101.07,12.6750000000001
15057,Indian Ocean,Bay of Bengal,,Trowel,2640,pieces/m3,500-30000,Medium,Fatema et al. 2023,"Fatema, K., K. A. Sumon, S. M. Moon, Md. J. Alam, S. J. Hasan, Md. H. Uddin, H. Arakawa, H. Rashid. 2023. Microplastics and mesoplastics in surface water, beach sediment, and crude salt from the northern Bay of Bengal, Bangladesh coast. Journal of Sedimentary Environments. https://doi.org/10.1007/s11356-022-24998-z",https://doi.org/10.1007/s43217-023-00131-z,Bangladesh Agricultural University,Bangladesh coast ,277997,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277997,21.329722,92.029167,9/6/2019 12:00:00 AM,d9bfb3ca-402a-48a7-9e09-82d635034ff1,92.0291670000001,21.3297220000001
15157,Pacific Ocean,Eastern China Sea,,Metal scoop,400,pieces/m3,100-500,Low,Bancin et al. 2019,"Bancin, L.J., B. A. Walther, Y-C. Lee, A. Kunz. 2019. Two-dimensional distribution and abundance of micro- and mesoplastic pollution in the surface sediment of Xialiao Beach, New Taipei City, Taiwan. Marine Pollution Bulletin 140; 75-85. https://doi.org/10.1016/j.marpolbul.2019.01.028.",https://doi.org/10.1016/j.marpolbul.2019.01.028,"Taipei Medical University, Taiwan, ROC",,277996,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277996,25.20997,121.65875,7/25/2017 12:00:00 AM,c46d9af3-06ad-4c14-92f6-50bd8026c5fb,121.65875,25.2099700000001
15134,Pacific Ocean,Eastern China Sea,,Metal scoop,0,pieces/m3,0-100,Very Low,Bancin et al. 2019,"Bancin, L.J., B. A. Walther, Y-C. Lee, A. Kunz. 2019. Two-dimensional distribution and abundance of micro- and mesoplastic pollution in the surface sediment of Xialiao Beach, New Taipei City, Taiwan. Marine Pollution Bulletin 140; 75-85. https://doi.org/10.1016/j.marpolbul.2019.01.028.",https://doi.org/10.1016/j.marpolbul.2019.01.028,"Taipei Medical University, Taiwan, ROC",,277996,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277996,25.21555,121.65343,7/25/2017 12:00:00 AM,2d17a888-bb76-4bb3-b9fc-ac1950f01d07,121.65343,25.2155500000001
15040,Indian Ocean,Bay of Bengal,,Trowel,1700,pieces/m3,500-30000,Medium,Fatema et al. 2023,"Fatema, K., K. A. Sumon, S. M. Moon, Md. J. Alam, S. J. Hasan, Md. H. Uddin, H. Arakawa, H. Rashid. 2023. Microplastics and mesoplastics in surface water, beach sediment, and crude salt from the northern Bay of Bengal, Bangladesh coast. Journal of Sedimentary Environments. https://doi.org/10.1007/s11356-022-24998-z",https://doi.org/10.1007/s43217-023-00131-z,Bangladesh Agricultural University,Bangladesh coast ,277997,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277997,21.329722,92.029167,3/23/2019 12:00:00 AM,20924b7a-b2f6-409a-8c65-bbbbd6a08abf,92.0291670000001,21.3297220000001
15111,Pacific Ocean,Eastern China Sea,,Metal scoop,2400,pieces/m3,500-30000,Medium,Bancin et al. 2019,"Bancin, L.J., B. A. Walther, Y-C. Lee, A. Kunz. 2019. Two-dimensional distribution and abundance of micro- and mesoplastic pollution in the surface sediment of Xialiao Beach, New Taipei City, Taiwan. Marine Pollution Bulletin 140; 75-85. https://doi.org/10.1016/j.marpolbul.2019.01.028.",https://doi.org/10.1016/j.marpolbul.2019.01.028,"Taipei Medical University, Taiwan, ROC",,277996,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277996,25.21756,121.6519,7/6/2017 12:00:00 AM,af8755be-c3f3-4c40-ac34-eefe299cc72e,121.6519,25.21756
15088,Pacific Ocean,Eastern China Sea,,Metal scoop,5600,pieces/m3,500-30000,Medium,Bancin et al. 2019,"Bancin, L.J., B. A. Walther, Y-C. Lee, A. Kunz. 2019. Two-dimensional distribution and abundance of micro- and mesoplastic pollution in the surface sediment of Xialiao Beach, New Taipei City, Taiwan. Marine Pollution Bulletin 140; 75-85. https://doi.org/10.1016/j.marpolbul.2019.01.028.",https://doi.org/10.1016/j.marpolbul.2019.01.028,"Taipei Medical University, Taiwan, ROC",,277996,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277996,25.22152,121.64982,7/13/2017 12:00:00 AM,da9a79c9-3aa7-40fc-b028-1d1a67371726,121.64982,25.2215200000001
15220,Pacific Ocean,Gulf of Thailand,,Metal spoon,452,pieces/m3,100-500,Low,Thepwilai et al. 2021,"Thepwilai, S., K. Wangritthikraikul, S. Chawchai, R. Bissen. 2021. Testing the factors controlling the numbers of microplastics on beaches along the western Gulf of Thailand. Marine Pollution Bulletin 168, 112467. https://doi.org/10.1016/j.marpolbul.2021.112467",https://doi.org/10.1016/j.marpolbul.2021.112467,"Chulalongkorn University, Bangkok, Thailand",,278060,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:278060,8.776944,99.935,9/22/2019 12:00:00 AM,2a40422f-60ce-4ab4-ada5-e574c9e64a94,99.9350000000001,8.77694400000007
15017,Atlantic Ocean,,,Stainless steel spoon,110480,pieces/m3,>40000,Very High,González-Hernández et al. 2020,"González-Hernández, M., C. Hernández-Sánchez, J. González-Sálamo, J. López-Darias, J. Hernández-Borges. Monitoring of meso and microplastic debris in Playa Grande beach (Tenerife, Canary Islands, Spain) during a moon cycle. Marine Pollution bulletin, 150, 110757. https://doi.org/10.1016/j.marpolbul.2019.110757",https://doi.org/10.1016/j.marpolbul.2019.110757,"Universidad de La Laguna, Spain",Tenerife; Canary Islands,277839,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0277839,28.152519,-16.43179,7/16/2019 12:00:00 AM,cbacfc6d-a85a-4a92-8f5c-72dcd3557650,-16.43179,28.152519
