OBJECTID,Oceans,Regions,SubRegions,Sampling Method,Measurement,Unit,Density Range,Density Class,Short Reference,Long Reference,DOI,Organization,Keywords,Accession Number,Accession Link,Latitude,Longitude,Date,GlobalID,x,y
14871,Indian Ocean,Bay of Bengal,,Ekman dredge,50,pieces kg-1 d.w.,20-150,Medium,Fatema et al. 2023,"Fatema, K., T. Rahman, M. J. Islam, K. A. Sumon, M. H. Uddin, S. J. Hasan, S. M. A. Kawsar, H. Arakawa, M. M. Haque, H. Rashid. 2023. Microplastics pollution in the river Karnaphuli: a preliminary study on a tidal confluence river in the southeast coast of Bangladesh. Environmental Science and Pollution Research 30, 38853-38868. https://doi.org/10.1007/s11356-022-24998-z",https://doi.org/10.1007/s11356-022-24998-z,Bangladesh Agricultural University,River Karnaphuli; Bangladesh coast,277998,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277998,22.378371,91.880612,3/14/2020 12:00:00 AM,e04a14e1-15e2-495f-a625-f4be43c39d7d,91.880612,22.3783710000001
14848,Indian Ocean,Bay of Bengal,,Ekman dredge,122.5,pieces kg-1 d.w.,20-150,Medium,Fatema et al. 2023,"Fatema, K., T. Rahman, M. J. Islam, K. A. Sumon, M. H. Uddin, S. J. Hasan, S. M. A. Kawsar, H. Arakawa, M. M. Haque, H. Rashid. 2023. Microplastics pollution in the river Karnaphuli: a preliminary study on a tidal confluence river in the southeast coast of Bangladesh. Environmental Science and Pollution Research 30, 38853-38868. https://doi.org/10.1007/s11356-022-24998-z",https://doi.org/10.1007/s11356-022-24998-z,Bangladesh Agricultural University,River Karnaphuli; Bangladesh coast,277998,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277998,22.34364,91.869161,9/7/2019 12:00:00 AM,e1a8e942-0f7b-45fa-8b9e-4b4d7915e02e,91.8691610000001,22.3436400000001
14819,Atlantic Ocean,,,Remotely operated vehicle,10,pieces kg-1 d.w.,2-20,Low,Nash et al. 2023,"Nash, R., H. Joyce, E. Pagter, J. Frias, J. Guinan, L. Healy, F. Kavanagh, M. Deegan, D. O’Sullivan. 2023. Deep Sea Microplastic Pollution Extends Out to Sediments in the Northeast Atlantic Ocean Margins. Environmental Science and Technology, 57, 201−213. https://doi.org/10.1021/acs.est.2c05926",https://doi.org/10.1021/acs.est.2c05926,"Atlantic Technological University, Galway, Ireland",RV Celtic Explorer; ROV; Ocean Margin,277496,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277496,51.538003,-12.685743,8/19/2019 12:00:00 AM,ec569dd1-6f63-4c71-9c9d-9299dcb260ee,-12.6857429999999,51.5380030000001
22313,Atlantic Ocean,,,Petite Ponar benthic grab,56.666667,pieces kg-1 d.w.,20-150,Medium,Rodrigues et al. 2022,"Rodrigues, D., J. Antunes, J. Pais, J. Pequeno, P.S. Caetano, F. Rocha, P. Sobral, M.H. Costa. 2022. Distribution patterns of microplastics in subtidal sediments from the Sado river estuary and the Arrábida marine park, Portugal. Frontiers in Environmental Science 10, 998513. https://doi.org/10.3389/fenvs.2022.998513",https://doi.org/10.3389/fenvs.2022.998513,"NOVA University Lisbon, Caparica, Portugal","Arrábida, Portugal",279326,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279326,38.43987,-9.09325,10/3/2018 12:00:00 AM,107a4e6f-52c6-478c-a507-8f52dd490590,-9.09324999999995,38.43987
22319,Atlantic Ocean,,,Petite Ponar benthic grab,50,pieces kg-1 d.w.,20-150,Medium,Rodrigues et al. 2022,"Rodrigues, D., J. Antunes, J. Pais, J. Pequeno, P.S. Caetano, F. Rocha, P. Sobral, M.H. Costa. 2022. Distribution patterns of microplastics in subtidal sediments from the Sado river estuary and the Arrábida marine park, Portugal. Frontiers in Environmental Science 10, 998513. https://doi.org/10.3389/fenvs.2022.998513",https://doi.org/10.3389/fenvs.2022.998513,"NOVA University Lisbon, Caparica, Portugal","Arrábida, Portugal",279326,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:279326,38.43987,-9.09325,11/3/2018 12:00:00 AM,736acbc8-5a9e-4901-98ea-2c42cb932b4b,-9.09324999999995,38.43987
21749,Pacific Ocean,East China Sea,,Sediment grab sampler,175.962098,pieces kg-1 d.w.,150-200,High,Qu et al. 2022,"Qu, J., P. Wu, G. Pan, J. Li, H. Jin. 2022. Microplastics in Seawater, Sediment, and Organisms from Hangzhou Bay. Marine Pollution Bulletin 181, 113940. https://doi.org/10.1016/j.marpolbul.2022.113940.",https://doi.org/10.1016/j.marpolbul.2022.113940,"Zhejiang University of Technology, China",Hangzhou Bay,280922,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:280922,30.45,121.32,9/15/2020 12:00:00 AM,fbe661e2-c832-4b06-89ae-b44834e60cf0,121.32,30.45
14865,Indian Ocean,Bay of Bengal,,Ekman dredge,185,pieces kg-1 d.w.,150-200,High,Fatema et al. 2023,"Fatema, K., T. Rahman, M. J. Islam, K. A. Sumon, M. H. Uddin, S. J. Hasan, S. M. A. Kawsar, H. Arakawa, M. M. Haque, H. Rashid. 2023. Microplastics pollution in the river Karnaphuli: a preliminary study on a tidal confluence river in the southeast coast of Bangladesh. Environmental Science and Pollution Research 30, 38853-38868. https://doi.org/10.1007/s11356-022-24998-z",https://doi.org/10.1007/s11356-022-24998-z,Bangladesh Agricultural University,River Karnaphuli; Bangladesh coast,277998,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277998,22.326398,91.854782,1/1/2020 12:00:00 AM,055eecfe-da9b-4ddf-835b-36f185272505,91.8547820000001,22.326398
14842,Indian Ocean,Bay of Bengal,,Ekman dredge,45,pieces kg-1 d.w.,20-150,Medium,Fatema et al. 2023,"Fatema, K., T. Rahman, M. J. Islam, K. A. Sumon, M. H. Uddin, S. J. Hasan, S. M. A. Kawsar, H. Arakawa, M. M. Haque, H. Rashid. 2023. Microplastics pollution in the river Karnaphuli: a preliminary study on a tidal confluence river in the southeast coast of Bangladesh. Environmental Science and Pollution Research 30, 38853-38868. https://doi.org/10.1007/s11356-022-24998-z",https://doi.org/10.1007/s11356-022-24998-z,Bangladesh Agricultural University,River Karnaphuli; Bangladesh coast,277998,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277998,22.378371,91.880612,9/7/2019 12:00:00 AM,77257140-148d-4c4d-b856-dc75f8f1603e,91.880612,22.3783710000001
22004,Indian Ocean,Laccadive Sea,Gulf of Mannar,shovel,425,pieces kg-1 d.w.,>200,Very High,"Keerthika et al., 2022","Keerthika, K., P. Padmavathy, V. Rani, R. Jeyashakila, S. Aanand, R. Kutty. 2022. Spatial, seasonal and ecological risk assessment of microplastics in sediment and surface water along the Thoothukudi, south Tamil Nadu, south east India. Environmental Monitoring and Assessment 194, 820. https://doi.org/10.1007/s10661-022-10468-z",https://doi.org/10.1007/s10661-022-10468-z,"Fisheries College and Research Institute, Thoothukudi, India","Thoothukudi, India",282701,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:282701,8.816639,78.166639,11/5/2021 12:00:00 AM,bc5fac70-e9c2-48f2-a72e-970751a3a6fd,78.166639,8.81663900000007
14831,Atlantic Ocean,Celtic Sea,,Day grab,14,pieces kg-1 d.w.,2-20,Low,Joyce et al. 2022,"Joyce, H., J. Frias, F. Kavanagh, R. Lynch, E. Pagter, J. White, R. Nash. 2022. Plastics, prawns, and patterns: Microplastic loadings in Nephrops norvegicus and surrounding habitat in the North East Atlantic. Science of the Total Environment 826, 154036. https://doi.org/10.1016/j.scitotenv.2022.154036",https://doi.org/10.1016/j.scitotenv.2022.154036,"Galway-Mayo Institute of Technology, Galway, Ireland",Ireland; Fishing ground,277497,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:277497,51.215787,-6.058089,7/16/2020 12:00:00 AM,c93eb58e-18df-4456-9780-9c93f7831489,-6.05808899999994,51.215787
